60, 0.000, 28.62,27.30
120, 0.980, 28.62,27.13
180, 0.980, 28.77,27.03
240, 0.980, 29.12,26.98
300, 0.980, 29.54,26.96
360, 0.980, 30.07,26.92
420, 0.980, 30.63,26.95
480, 0.980, 31.27,26.93
540, 0.980, 31.80,27.03
600, 0.980, 32.31,27.05
660, 0.980, 32.80,27.15
720, 0.980, 33.32,27.15
781, 0.980, 33.70,27.14
841, 0.980, 34.08,27.25
901, 0.980, 34.51,27.27
961, 0.980, 34.84,27.33
1021, 0.980, 35.11,27.32
1081, 0.980, 35.41,27.45
1141, 0.980, 35.68,27.46
1201, 0.980, 35.91,27.45
1261, 0.980, 36.13,27.49
1321, 0.980, 36.36,27.57
1381, 0.980, 36.57,27.65
1441, 0.980, 36.78,27.64
1501, 0.980, 36.88,27.69
1561, 0.980, 37.02,27.70
1621, 0.980, 37.18,27.76
1681, 0.973, 37.30,27.90
1741, 0.888, 37.37,27.81
1801, 0.888, 37.48,27.90
1861, 0.831, 37.55,27.93
1921, 0.777, 37.57,28.01
1981, 0.694, 37.65,28.00
2041, 0.646, 37.67,28.08
2101, 0.567, 37.68,28.12
2161, 0.489, 37.59,28.09
2221, 0.453, 37.53,28.15
2281, 0.391, 37.40,28.14
2341, 0.350, 37.28,28.23
2401, 0.268, 37.11,28.26
2462, 0.195, 36.92,28.31
2522, 0.112, 36.75,28.37
2582, 0.023, 36.46,28.36
2642, 0.000, 36.13,28.33
2702, 0.000, 35.83,28.46
2763, 0.000, 35.46,28.46
2823, 0.000, 35.10,28.45
2883, 0.000, 34.73,28.48
2943, 0.000, 34.40,28.38
3003, 0.000, 34.18,28.36
3064, 0.000, 33.87,28.38
3124, 0.000, 33.58,28.34
3185, 0.000, 33.31,28.38
3245, 0.000, 33.14,28.41
3305, 0.000, 32.91,28.37
3366, 0.000, 32.73,28.36
3427, 0.000, 32.54,28.41
3488, 0.000, 32.41,28.43
3549, 0.000, 32.25,28.41
3609, 0.000, 32.06,28.37
3669, 0.000, 31.99,28.32
3729, 0.000, 31.90,28.43
3790, 0.000, 31.78,28.32
3851, 0.000, 31.67,28.32
3911, 0.000, 31.58,28.27
3972, 0.000, 31.51,28.28
4032, 0.000, 31.44,28.23
4093, 0.000, 31.38,28.25
4153, 0.000, 31.28,28.13
